shaem_yishuv,semel_yishuv,Apt_2012,Apt_2013,Apt_2014,Apt_2015,Apt_2016,Apt_2017,Apt_2018,Apt_2019,semel_yishuv_int
אבו גוש,"472","1506","1562","1568","1582","1633","2164","1917","1940","472"
אבו סנאן,"473","2821","2885","2975","3049","3139","3197","3365","3472","473"
אבן יהודה,"182","3119","3238","3298","3365","3431","3489","3525","3580","182"
אום אל-פחם,"2710","14378","14480","14701","14751","14881","15027","15725","16432","2710"
אופקים,"31","7123","7140","7243","7284","7649","7748","7943","8418","31"
אור יהודה,"2400","10084","10220","10373","10358","10535","10624","10629","10621","2400"
אור עקיבא,"1020","4931","5043","5292","5453","5455","5593","6007","6574","1020"
אורנית,"3760","1648","1763","1901","1995","2013","2043","2082","2116","3760"
אזור,"565","3580","3597","3608","3633","3643","3643","3677","3830","565"
אילת,"2600","17467","17672","17848","18070","18323","18668","18987","19083","2600"
אכסאל,"478","2757","2783","2873","3014","3044","3110","3158","3186","478"
אליכין,"41","1008","1017","1030","1034","1034","1037","1046","1058","41"
אלעד,"1309","7176","7173","7174","7258","7303","7352","7391","7393","1309"
אלפי מנשה,"3750","1913","1931","1933","1954","2013","2011","2060","2101","3750"
אלקנה,"3560","767","809","815","817","821","822","824","824","3560"
אעבלין,"529","2568","2640","2763","2809","2834","2934","2931","2924","529"
אפרת,"3650","1748","1758","1767","1764","1812","1963","2159","2372","3650"
אריאל,"3570","4783","4774","4772","4859","5243","5423","5489","5519","3570"
אשדוד,"70","62915","63135","64074","64691","65115","65756","66564","67230","70"
אשקלון,"7100","39960","41782","42755","44090","45151","46543","47939","49391","7100"
באקה אל-גרביה,"6000","5668","5765","5928","6031","6128","6170","6297","6419","6000"
באר יעקב,"2530","4084","4394","4515","4623","5354","5988","6970","7339","2530"
באר שבע,"9000","70698","71840","73011","73667","74581","75770","76917","77825","9000"
בועיינה-נוג'ידאת,"482","1739","1849","1918","2013","2084","2153","2214","2276","482"
בוקעאתא,"4001","1417","1459","1511","1547","1573","1620","1643","1654","4001"
ביר אל-מכסור,"998","1506","1570","1604","1728","1754","1757","1760","1818","998"
בית אל,"3574","1156","1202","1199","1204","1198","1180","1180","1187","3574"
בית אריה,"3652","1020","1044","1071","1151","1201","1217","1234","1266","3652"
בית ג'ן,"480","2368","2481","2548","2650","2721","2800","2941","3018","480"
בית דגן,"466","1697","1708","1716","1715","1718","1722","1720","1719","466"
בית שאן,"9200","4913","4966","4941","5089","5149","5354","5491","5672","9200"
בית שמש,"2610","17376","17818","18434","19866","20700","20936","21353","22440","2610"
ביתר עילית,"3780","6595","6886","6838","7049","7110","7458","7608","7723","3780"
בני ברק,"6100","41464","42269","43059","43818","44589","45191","46060","46914","6100"
"בני עי""ש","1066","2171","2198","2200","2207","2234","2238","2258","2263","1066"
בנימינה-גבעת עדה*,"9800","3578","3639","3703","3813","3886","3939","3989","4022","9800"
"בסמ""ה","1326","1543","1557","1622","1685","1710","1767","1894","2020","1326"
בסמת טבעון,"944","1390","1411","1432","1506","1594","1624","1677","1721","944"
בענה,"483","1756","1763","1770","1784","1828","1858","1913","1932","483"
בת ים,"6200","50635","50698","50759","51229","51626","52347","53716","54235","6200"
ג'דיידה-מכר,"1292","4140","4249","4339","4400","4474","4760","4844","5077","1292"
ג'ולס,"485","1331","1355","1384","1430","1549","1587","1645","1687","485"
ג'לג'וליה,"627","1404","1428","1427","1450","1502","1583","1608","1631","627"
ג'סר א-זרקא,"541","1927","2123","2112","2193","2326","2319","2357","2373","541"
ג'ש (גוש חלב),"487","808","833","851","873","893","911","924","933","487"
ג'ת,"628","2471","2532","2645","2750","2781","2933","3004","3072","628"
גבעת זאב,"3730","3159","3301","3341","3611","3677","3728","3811","3945","3730"
גבעת שמואל,"681","7304","7352","7357","7510","7508","7579","7784","7943","681"
גבעתיים,"6300","23182","23448","23571","23623","23644","24392","24431","24471","6300"
גדרה,"2550","6296","6375","6490","6549","6682","6754","6835","6881","2550"
גן יבנה,"166","4902","4981","5077","5187","5275","5368","5432","5479","166"
גני תקווה,"229","4406","4502","4868","4954","5440","5699","6253","6633","229"
דאלית אל-כרמל,"494","3624","3709","3792","3908","4117","4223","4416","4912","494"
דבורייה,"489","2002","2114","2181","2177","2237","2296","2282","2295","489"
דייר אל-אסד,"490","1814","1826","1846","1880","2029","2100","2201","2440","490"
דייר חנא,"492","2224","2266","2331","2418","2508","2572","2630","2695","492"
דימונה,"2200","11483","11568","11798","11828","11973","12175","12424","12756","2200"
הוד השרון,"9700","15298","15594","16096","17210","17986","18725","19471","19521","9700"
הר אדר,"3769","812","830","835","861","894","916","923","924","3769"
הרצלייה,"6400","34048","34186","34344","33964","34475","35082","35395","36377","6400"
זכרון יעקב,"9300","6763","6923","6980","7253","7423","7527","7625","7763","9300"
